dog	greet	sheep
toilet	have	sink
dog	herd	sheep
dog	round	sheep
dog	watch	sheep
person	hold	umbrella
dog	approach	sheep
person	ride	motorcycle
dog	chase	sheep
cat	lounge	sink
person	hold	spoon
motorcycle	have	bicycle
cat	use	toilet
car	have	surfboard
person	fly	kite
person	ride	boat
dog	catch	frisbee
person	ride	bicycle
person	use	toilet
person	carry	surfboard
person	tide	motorcycle
cat	sit	car
person	ride	snowboard
person	hold	kite
person	park	car
person	watch	tv
tv	depict	dog
person	drive	motorcycle
person	hold	cat
bowl	have	broccoli
cake	have	airplane
sink	have	bottle
bicycle	carry	cake
person	ride	skateboard
toilet	sit	sink
person	pull	suitcase
dog	watch	dog
person	hold	surfboard
giraffe	sniff	giraffe
dog	lay	bench
person	ride	horse
person	hold	toothbrush
cat	fom	bowl
dog	ride	motorcycle
cat	watch	bird
sheep	sniff	cat
bird	eat	apple
giraffe	approach	person
dog	walk	bench
giraffe	lick	giraffe
tie	hold	umbrella
giraffe	eat	carrot
bird	watch	cow
dog	sniff	dog
person	feed	giraffe
cat	bring	bird
train	park	train
person	watch	sheep
person	hold	bird
bus	turn	bus
truck	carry	bus
truck	tow	bus
truck	pull	bus
truck	haul	bus
cat	lay	bench
person	drive	bus
sheep	nudge	sheep
cat	stalk	bird
train	pass	train
bird	theme	clock
train	attach	train
sheep	notice	truck
person	pet	dog
dog	carry	bird
sheep	watch	sheep
dog	watch	cat
bed	have	dog
person	have	cat
person	throw	frisbee
person	handle	suitcase
dog	carry	frisbee
dog	hold	frisbee
dog	give	broccoli
cat	watch	tv
cat	lay	book
bicycle	have	umbrella
dog	tackle	cat
dog	have	frisbee
dog	ride	skateboard
chair	have	umbrella
cat	block	laptop
cat	wear	tie
cat	lie	tv
dog	retrieve	frisbee
person	walk	elephant
person	hold	dog
person	sail	boat
dog	push	skateboard
dog	eat	carrot
dog	chase	frisbee
person	hold	cup
cat	eat	sandwich
person	hold	suitcase
dog	carry	bottle
dog	play	frisbee
dog	grip	skateboard
dog	have	cake
truck	haul	boat
truck	tow	boat
elephant	follow	elephant
cat	find	bed
cat	use	suitcase
person	wear	backpack
person	wear	tie
dog	grip	frisbee
cat	have	mouse
cat	chew	banana
person	have	umbrella
truck	tow	car
cat	lick	donut
dog	bite	frisbee
cat	take	chair
cat	occupy	chair
cat	have	cup
person	ride	elephant
person	row	boat
cat	use	laptop
person	have	tie
cat	watch	horse
tv	attract	cat
person	feed	donut
cat	eat	donut
boat	carry	boat
person	read	book
person	use	laptop
dog	sniff	cup
dog	smell	cup
person	carry	skis
person	guide	horse
dog	chase	dog
dog	toss	frisbee
person	ski	dog
person	hold	carrot
horse	carry	person
person	eat	banana
person	walk	horse
apple	have	knife
person	play	frisbee
person	push	skateboard
cake	have	knife
person	cut	apple
dog	capture	frisbee
person	laugh	banana
person	use	skis
horse	sniff	horse
person	have	laptop
person	jump	horse
person	grind	skateboard
person	have	banana
knife	slice	carrot
person	block	person
person	hold	sandwich
person	pull	sandwich
banana	apple	knife
person	brush	horse
person	hold	banana
zebra	kick	horse
horse	kick	horse
person	examine	skis
person	cut	cake
zebra	pass	car
person	adjust	skis
dog	fetch	frisbee
person	train	horse
horse	pull	person
zebra	follow	zebra
person	jump	skateboard
person	catch	frisbee
person	lead	horse
dog	hand	sandwich
dog	pick	frisbee
person	feed	banana
person	hold	frisbee
person	eat	pizza
person	ride	surfboard
person	hold	donut
cat	lounge	bed
bed	toy	bed
person	cut	pizza
person	use	snowboard
person	knock	surfboard
person	take	pizza
person	carry	snowboard
person	hold	remote
oven	reveal	pizza
person	jump	snowboard
dog	observe	cake
person	slice	pizza
person	sit	pizza
chair	have	remote
person	hold	bottle
person	use	kite
person	lose	skateboard
person	drag	surfboard
chair	face	tv
person	hold	snowboard
couch	hold	remote
person	serve	pizza
person	cross	skis
person	dip	sandwich
person	hold	skateboard
person	have	sandwich
person	pet	cat
person	use	surfboard
laptop	have	mouse
person	present	kite
person	holdie	kite
person	use	keyboard
person	move	refrigerator
clock	hang	train
person	use	mouse
person	use	microwave
person	approach	kite
clock	read	clock
knife	slice	cake
person	operate	laptop
dog	chase	kite
person	carry	kite
person	hold	fork
person	hold	scissors
cat	stand	vase
cat	watch	cat
sink	display	toothbrush
cat	park	car
person	walk	bicycle
person	board	train
cat	stand	sink
person	walk	dog
dog	pass	couch
bench	have	backpack
cat	lay	sink
person	wash	knife
dog	get	frisbee
truck	have	car
person	show	dog
person	use	knife
person	mount	bicycle
dog	cathe	frisbee
person	feed	bird
dog	sniff	cat
person	wash	dog
car	have	dog
toilet	have	toilet
person	nuzzle	cat
bowl	have	spoon
train	carry	car
cat	have	bowl
truck	pull	boat
person	hold	bowl
person	clothe	motorcycle
car	have	skis
couch	face	tv
person	dip	spoon
cat	sit	motorcycle
person	carry	umbrella
car	carry	surfboard
car	cut	bus
backpack	ride	motorcycle
person	race	motorcycle
airplane	unload	truck
dog	sniff	bench
giraffe	follow	giraffe
sheep	chase	cat
person	pet	giraffe
person	lounge	bench
banana	theme	bus
bench	have	bird
bicycle	follow	bus
giraffe	watch	giraffe
giraffe	touch	giraffe
giraffe	feed	bottle
bus	pass	bench
person	feed	carrot
bus	have	bicycle
bus	follow	bus
bus	pass	bus
person	herd	sheep
boat	tow	boat
dog	sit	chair
person	sit	train
truck	block	bus
bus	have	bus
person	approach	bus
person	shear	sheep
person	have	bench
person	chase	sheep
car	drive	bus
bus	pass	truck
cake	have	train
bird	enjoy	pizza
bird	eat	pizza
person	have	dog
person	hold	book
bird	enjoy	apple
train	overtake	train
truck	haul	train
bird	eat	banana
bus	pass	car
cat	approach	bird
cat	stare	bird
bird	feed	bird
cat	check	bird
car	follow	car
dog	face	bird
dog	hurdle	sheep
bird	stand	apple
person	face	giraffe
cat	catch	bird
cat	carry	bird
sheep	gather	sheep
giraffe	stand	giraffe
bus	call	bus
cat	eat	bird
bus	pass	bicycle
person	shavinfg	sheep
bird	confront	cat
person	sheer	sheep
dog	hug	dog
cat	stripe	cat
cat	check	laptop
dog	guard	boat
cat	sniff	bottle
cat	inspect	bottle
cow	kiss	dog
cat	lay	suitcase
person	hit	cow
cat	stretch	umbrella
cat	wear	backpack
cat	use	remote
cat	hold	bottle
cat	sniff	dog
cat	sit	chair
truck	carry	car
cat	sniff	pizza
person	wear	dog
cat	sniff	laptop
cat	touch	tv
cat	lounge	suitcase
person	kitten	bottle
cat	touch	banana
truck	face	car
truck	pull	car
truck	bring	car
cat	have	tie
cat	have	banana
dog	wear	tie
